"cliente","LTV","Deal","Revenue Share","Servico extra","corretagem","lt"
Xp Investimentos(Xp Investimentos ),6750000.0,6750000.0,,,,33
"Xp Investimentos Cctvm S/A(Xp Investimentos Corretora De Cambio, Titulos E Valores Mobiliarios S/A )",3460000.0,3460000.0,,,,38
Óticas Prevent (Otica Prevent Sao Miguel Paulista Ltda),1951356.0,1944000.0,7356.0,,,22
Grupo Salus | Franqueadora (Dso Marketing E Publicidade Ltda ),1637000.0,1637000.0,,,,42
Apsen Farmacêutica (Apsen Farmacêutica S.A ),1596200.0,1596200.0,,,,34
Jangada (Restaurante E Churrascaria Jangada Ltda),1417345.0,1417345.0,,,,44
Conta Simples(Conta Simples Solucoes De Pagamentos Ltda),1306195.0,1306195.0,,,,11
Bernoulli (Bernoulli Sistema De Ensino ),1219000.0,1219000.0,,,,29
Play Serviços(Play Servicos Intermediacao De Negocios Ltda )(Play Servicos Intermediacao De Negocios Ltda ),1189628.0,1189628.0,,,,33
Grupo Salus | Franqueadora (Ssga Marketing E Publicidade Ltda ),1164000.0,1164000.0,,,,42
Hk Data Ltda.(Hk Data Ltda.),1158300.0,1158300.0,,,,18
Go Coffe Franchising - Expansão De Franquias - (Go Coffee Cafeteria Ltda ),1154960.5799999998,175000.0,979960.5799999998,,,20
Lady Driver | Expansão (Lady Driver H Tecnologia Ltda  - Expansão)),1147019.94,98500.0,1048519.94,,,37
Brasil Paralelo(Brasil Paralelo Entretenimento E Educacao S/A.),1040250.0,1040250.0,,,,15
Blue3 Investimentos(Blue3 Investimentos Assessor De Investimentos S/S Ltda.),958200.0,958200.0,,,,9
Lugano Chocolates | Franqueadora | Expansão | Gramado/Rs (Projeto B2b),935000.0,354000.0,581000.0,,,59
Sicoob | Centrais(Banco Cooperativo Sicoob S.A. - Centrais ),934800.0,934800.0,,,,19
Festival Do Torresmo | Leitão Porkchopp (Eduardo Saueia Bueno Organizacao De Eventos Ltda )(Eduardo Saueia Bueno Organizacao De Eventos Ltda),921045.66,0.0,921045.66,,,18
Loggi(L4b Logistica Ltda.),863227.7100000003,863227.7100000003,,,,20
Brasilinvest(Banco Seu Meios De Pagamento Ltda),830000.0,830000.0,,,,5
Prospera Soluções E Tecnologia S.A(Prospera Solucoes E Tecnologia S.A.),800000.0,800000.0,,,,8
Ifood.Com Agencia De Restaurantes Online Sa(Ifood.Com Agencia De Restaurantes Online Sa),799320.0,799320.0,,,,10
Secret Store Vestuario Ltda (Secret Store Vestuario Ltda),798700.0,562500.0,,236200.0,,17
Rojemac (Rojemac Importacao E Exportacao Limitada ),796850.5799999996,796850.5799999996,,,,21
V4 Company Interno Matriz(V4 Company (Interno) ),795000.0,795000.0,,,,18
Grupo K1(Grupo K1 S.A ),778090.96,775000.0,3090.96,,,31
Mahogany(Mahogany Servicos E Licenciamentos Ltda),773997.0,770000.0,,3997.0,,14
Grupo Jgv - Geral (Unapel Formosa),756000.0,756000.0,,,,42
X Prime Academia (Xp-Fj Gestao De Ativos Ltda),754300.0,754300.0,,,,39
Solvace(Solvace ),744000.0,744000.0,,,,31
Sicoob(Banco Cooperativo Sicoob S.A. ),698600.0,698600.0,,,,28
Valec Renault(Valec Distribuidora De Veiculos Ltda.),696555.55,96063.0,,230237.21999999997,370255.33,23
Festival Do Torresmo | Leitão Porkchopp (Eduardo Saueia Bueno Organizacao De Eventos Ltda ),675240.0,675240.0,,,,12
Ifood (Ifood.Com Agencia De Restaurantes Online Sa ),663782.0,663782.0,,,,31
Mrd(Dias E Souza Sociedade De Advogados ),640640.0,640640.0,,,,25
Skelt Cosmeticos(Beauty Labs Cosmeticos Ltda )(Beauty Labs Cosmeticos Ltda),640575.0,640575.0,,,,25
Ceisc(Ceisc Cursos Preparatorios Ltda.),637485.0,637485.0,,,,13
Luchini Chevrolet Jundiaí(Irmaosluchinisacomercialautopecas),632281.3600000001,59705.0,,305299.77,267276.59,23
Max Titanium(Supley Laboratorio De Alimentos E Suplementos Nutricionais Ltda ),613993.89,450246.0,163747.89,,,18
